indicator,year,value,category
Change in propensity to participate by age group (years) | All age groups,0,0.1102842453616022,Australian-born | Total
Change in propensity to participate by age group (years) | All age groups,0,0.0901445541836937,Overseas-born | Male
Change in propensity to participate by age group (years) | All age groups,0,0.1893832409174661,Overseas-born | Female
Change in propensity to participate by age group (years) | All age groups,0,0.2795277951011599,Overseas-born | Total
Change in propensity to participate by age group (years) | All age groups,0,0.3898120404627621,Total all birth groups
Total change | nan,0,-0.4036215512335123,Australian-born | Male
Total change | nan,0,-0.0411351524228137,Australian-born | Female
Total change | nan,0,-0.444756703656326,Australian-born | Total
Total change | nan,0,0.1179522732541945,Overseas-born | Male
Total change | nan,0,0.1924707250001082,Overseas-born | Female
Total change | nan,0,0.3104229982543027,Overseas-born | Total
Total change | nan,0,-0.1343337054020232,Total all birth groups
