indicator,year,value
Transport Postal and Warehousing,2017,261.0
Transport Postal and Warehousing,2018,253.0
Transport Postal and Warehousing,2019,145.0
Transport Postal and Warehousing,2020,150.0
Transport Postal and Warehousing,2021,124.0
Transport Postal and Warehousing,2022,191.0
Transport Postal and Warehousing,2023,139.0
Transport Postal and Warehousing,2024,201.0
Wholesale Trade,2007,148.0
Wholesale Trade,2008,246.0
Wholesale Trade,2009,273.0
Wholesale Trade,2010,260.0
Wholesale Trade,2011,258.0
Wholesale Trade,2012,275.0
Wholesale Trade,2013,357.0
Wholesale Trade,2014,437.0
Wholesale Trade,2015,515.0
Wholesale Trade,2016,525.0
Wholesale Trade,2017,320.0
Wholesale Trade,2018,299.0
Wholesale Trade,2019,234.0
Wholesale Trade,2020,118.0
Wholesale Trade,2021,134.0
Wholesale Trade,2022,109.0
Wholesale Trade,2023,152.0
Wholesale Trade,2024,146.0
Not Specified,2007,119.0
Not Specified,2008,99.0
Not Specified,2009,71.0
Not Specified,2010,100.0
Not Specified,2011,138.0
Not Specified,2012,351.0
Not Specified,2013,222.0
Not Specified,2014,181.0
Not Specified,2015,35.0
Not Specified,2016,13.0
Not Specified,2017,10.0
Not Specified,2019,0.0
Not Specified,2022,0.0
Total,2007,9464.0
Total,2008,14735.0
Total,2009,16334.0
Total,2010,18851.0
Total,2011,20512.0
Total,2012,21651.0
Total,2013,21453.0
Total,2014,22098.0
Total,2015,22091.0
Total,2016,22184.0
Total,2017,16036.0
Total,2018,20025.0
Total,2019,13263.0
Total,2020,10543.0
Total,2021,11724.0
Total,2022,15127.0
Total,2023,14582.0
Total,2024,17784.0
