indicator_id,indicator_name,category
1_4_arts_and_recreation_services,Arts and Recreation Services,1_4
1_4_construction,Construction,1_4
1_4_education_and_training,Education and Training,1_4
1_4_electricity_gas_water_and_waste_services,"Electricity, Gas, Water and Waste Services",1_4
1_4_financial_and_insurance_services,Financial and Insurance Services,1_4
1_4_health_care_and_social_assistance,Health Care and Social Assistance,1_4
1_4_information_media_and_telecommunications,Information Media and Telecommunications,1_4
1_4_manufacturing,Manufacturing,1_4
1_4_mining,Mining,1_4
1_4_other_services,Other Services,1_4
1_4_professional_scientific_and_technical_services,"Professional, Scientific and Technical Services",1_4
1_4_public_administration_and_safety,Public Administration and Safety,1_4
1_4_rental_hiring_and_real_estate_services,"Rental, Hiring and Real Estate Services",1_4
1_4_retail_trade,Retail Trade,1_4
1_4_transport_postal_and_warehousing,Transport Postal and Warehousing,1_4
1_4_wholesale_trade,Wholesale Trade,1_4
1_4_not_specified,Not Specified,1_4
1_4_total,Total,1_4
1_6_india,India,1_6
1_6_sri_lanka,Sri Lanka,1_6
1_6_pakistan,Pakistan,1_6
1_6_nepal,Nepal,1_6
1_6_philippines,Philippines,1_6
1_6_peoples_republic_of_china2,People's Republic of China2,1_6
1_6_bangladesh,Bangladesh,1_6
1_6_iran,Iran,1_6
1_6_united_kingdom,United Kingdom,1_6
1_6_bhutan,Bhutan,1_6
1_6_south_africa,South Africa,1_6
1_6_vietnam,Vietnam,1_6
1_6_nigeria,Nigeria,1_6
1_6_egypt,Egypt,1_6
1_6_zimbabwe,Zimbabwe,1_6
1_6_other3,Other3,1_6
1_6_total,Total,1_6
1_7_accountants,Accountants,1_7
1_7_software_and_applications_programmers,Software and Applications Programmers,1_7
1_7_industrial_mechanical_and_production_engineers,"Industrial, Mechanical and Production Engineers",1_7
1_7_chefs,Chefs,1_7
1_7_civil_engineering_professionals,Civil Engineering Professionals,1_7
1_7_motor_mechanics,Motor Mechanics,1_7
1_7_other_engineering_professionals,Other Engineering Professionals,1_7
1_7_ict_business_and_systems_analysts2,ICT Business and Systems Analysts2,1_7
1_7_registered_nurses,Registered Nurses,1_7
1_7_human_resource_professionals,Human Resource Professionals,1_7
1_7_other3,Other3,1_7
1_7_total,Total,1_7
1_8_india,India,1_8
1_8_peoples_republic_of_china1,People's Republic of China1,1_8
1_8_nepal,Nepal,1_8
1_8_pakistan,Pakistan,1_8
1_8_sri_lanka,Sri Lanka,1_8
1_8_united_kingdom,United Kingdom,1_8
1_8_philippines,Philippines,1_8
1_8_malaysia,Malaysia,1_8
1_8_south_africa,South Africa,1_8
1_8_bhutan,Bhutan,1_8
1_8_iran,Iran,1_8
1_8_vietnam,Vietnam,1_8
1_8_bangladesh,Bangladesh,1_8
1_8_ireland,Ireland,1_8
1_8_brazil,Brazil,1_8
1_8_other2,Other2,1_8
1_8_total,Total,1_8
1_9_software_and_applications_programmers,Software and Applications Programmers,1_9
1_9_accountants,Accountants,1_9
1_9_ict_business_and_systems_analysts2,ICT Business and Systems Analysts2,1_9
1_9_civil_engineering_professionals,Civil Engineering Professionals,1_9
1_9_industrial_mechanical_and_production_engineers,"Industrial, Mechanical and Production Engineers",1_9
1_9_registered_nurses,Registered Nurses,1_9
1_9_chefs,Chefs,1_9
1_9_electrical_engineers,Electrical Engineers,1_9
1_9_other_engineering_professionals,Other Engineering Professionals,1_9
1_9_early_childhood_pre_primary_school_teachers,Early Childhood (Pre-primary School) Teachers,1_9
1_9_other3,Other3,1_9
1_9_total,Total,1_9
2_0_visitor,Visitor,2_0
2_0_special_category,Special Category,2_0
2_0_crew_and_transit,Crew and Transit,2_0
2_0_student,Student,2_0
2_0_working_holiday_maker,Working Holiday Maker,2_0
2_0_temporary_resident_other_employment,Temporary Resident (Other Employment),2_0
2_0_temporary_resident_skilled_employment1,Temporary Resident (Skilled Employment)1,2_0
2_0_other_temporary,Other Temporary,2_0
2_0_total2,Total2,2_0
2_1_temporary_resident_skilled_employment,Temporary Resident (Skilled Employment),2_1
2_1_temporary_graduate,Temporary Graduate,2_1
2_1_visitors,Visitors,2_1
2_1_working_holiday_maker,Working Holiday Maker,2_1
2_1_student,Student,2_1
2_1_all_other_visas,All other visas,2_1
2_1_no_previous_visa_held_or_known,No previous visa held or known,2_1
2_1_total,Total,2_1
2_1_temporary_resident_skilled_employment_1,Temporary Resident (Skilled Employment)_1,2_1
2_1_temporary_graduate_1,Temporary Graduate_1,2_1
2_1_visitors_1,Visitors_1,2_1
2_1_working_holiday_maker_1,Working Holiday Maker_1,2_1
2_1_student_1,Student_1,2_1
2_1_all_other_visas_1,All other visas_1,2_1
2_1_no_previous_visa_held_or_known_1,No previous visa held or known_1,2_1
2_1_total_1,Total_1,2_1
2_1_temporary_resident_skilled_employment_2,Temporary Resident (Skilled Employment)_2,2_1
2_1_temporary_graduate_2,Temporary Graduate_2,2_1
2_1_visitors_2,Visitors_2,2_1
2_1_working_holiday_maker_2,Working Holiday Maker_2,2_1
2_1_student_2,Student_2,2_1
