indicator,year,value,category
Change in propensity to participate by age group (years) | 55–64,0,0.0215416600221584,Australian-born | Female
Change in propensity to participate by age group (years) | 55–64,0,0.0344863151476872,Australian-born | Total
Change in propensity to participate by age group (years) | 55–64,0,0.0056193541142814,Overseas-born | Male
Change in propensity to participate by age group (years) | 55–64,0,0.056041964820439,Overseas-born | Female
Change in propensity to participate by age group (years) | 55–64,0,0.0616613189347204,Overseas-born | Total
Change in propensity to participate by age group (years) | 55–64,0,0.0961476340824077,Total all birth groups
Change in propensity to participate by age group (years) | 65+,0,-0.0120703916060119,Australian-born | Male
Change in propensity to participate by age group (years) | 65+,0,0.1480701487510105,Australian-born | Female
Change in propensity to participate by age group (years) | 65+,0,0.1359997571449985,Australian-born | Total
Change in propensity to participate by age group (years) | 65+,0,0.0539646630960592,Overseas-born | Male
Change in propensity to participate by age group (years) | 65+,0,0.1020355492426296,Overseas-born | Female
Change in propensity to participate by age group (years) | 65+,0,0.1560002123386889,Overseas-born | Total
Change in propensity to participate by age group (years) | 65+,0,0.2919999694836874,Total all birth groups
Change in propensity to participate by age group (years) | All age groups,0,0.321130299706144,Australian-born | Male
Change in propensity to participate by age group (years) | All age groups,0,0.5389882475137006,Australian-born | Female
Change in propensity to participate by age group (years) | All age groups,0,0.8601185472198446,Australian-born | Total
Change in propensity to participate by age group (years) | All age groups,0,0.1954155845313957,Overseas-born | Male
Change in propensity to participate by age group (years) | All age groups,0,0.4595843444316164,Overseas-born | Female
Change in propensity to participate by age group (years) | All age groups,0,0.6549999289630121,Overseas-born | Total
Change in propensity to participate by age group (years) | All age groups,0,1.5151184761828569,Total all birth groups
Total change | nan,0,-0.6335013130098135,Australian-born | Male
Total change | nan,0,-0.2511279060641264,Australian-born | Female
Total change | nan,0,-0.8846292190739399,Australian-born | Total
Total change | nan,0,1.1163742319650034,Overseas-born | Male
Total change | nan,0,1.0543688145621275,Overseas-born | Female
Total change | nan,0,2.170743046527131,Overseas-born | Total
Total change | nan,0,1.2861138274531911,Total all birth groups
