Year,variable,value,sheet
2022–23,In Australia - primary applicant by gender | % Female,46.5433282915852,1.2
2023–24,In Australia - primary applicant by gender | % Female,43.64906241869959,1.2
2024–25,In Australia - primary applicant by gender | % Female,39.212685739631844,1.2
2015–16,In Australia - primary applicant by gender | Male,25403.0,1.2
2016–17,In Australia - primary applicant by gender | Male,23588.0,1.2
2017–18,In Australia - primary applicant by gender | Male,19105.0,1.2
2018–19,In Australia - primary applicant by gender | Male,21035.0,1.2
2019–20,In Australia - primary applicant by gender | Male,21045.0,1.2
2020–21,In Australia - primary applicant by gender | Male,19015.0,1.2
2021–22,In Australia - primary applicant by gender | Male,19520.0,1.2
2022–23,In Australia - primary applicant by gender | Male,28981.0,1.2
2023–24,In Australia - primary applicant by gender | Male,28158.0,1.2
2024–25,In Australia - primary applicant by gender | Male,27409.0,1.2
2015–16,In Australia - primary applicant by gender | % Male,62.89116656763716,1.2
2016–17,In Australia - primary applicant by gender | % Male,64.08041293126868,1.2
2017–18,In Australia - primary applicant by gender | % Male,62.4468850101327,1.2
2018–19,In Australia - primary applicant by gender | % Male,61.23548077202992,1.2
2019–20,In Australia - primary applicant by gender | % Male,60.17843355923479,1.2
2020–21,In Australia - primary applicant by gender | % Male,62.31770065218104,1.2
2021–22,In Australia - primary applicant by gender | % Male,58.312173263629575,1.2
2022–23,In Australia - primary applicant by gender | % Male,53.4566717084148,1.2
2023–24,In Australia - primary applicant by gender | % Male,56.35093758130041,1.2
2024–25,In Australia - primary applicant by gender | % Male,60.787314260368156,1.2
2015–16,In Australia - primary applicant by gender | Total1,40407.0,1.2
2016–17,In Australia - primary applicant by gender | Total1,36813.0,1.2
2017–18,In Australia - primary applicant by gender | Total1,30599.0,1.2
2018–19,In Australia - primary applicant by gender | Total1,34358.0,1.2
2019–20,In Australia - primary applicant by gender | Total1,34985.0,1.2
2020–21,In Australia - primary applicant by gender | Total1,30525.0,1.2
2021–22,In Australia - primary applicant by gender | Total1,33488.0,1.2
2022–23,In Australia - primary applicant by gender | Total1,54228.0,1.2
2023–24,In Australia - primary applicant by gender | Total1,49986.0,1.2
2024–25,In Australia - primary applicant by gender | Total1,45100.0,1.2
2015–16,In Australia - secondary applicant by gender | Female,19402.0,1.2
2016–17,In Australia - secondary applicant by gender | Female,18911.0,1.2
2017–18,In Australia - secondary applicant by gender | Female,15257.0,1.2
2018–19,In Australia - secondary applicant by gender | Female,16439.0,1.2
2019–20,In Australia - secondary applicant by gender | Female,17761.0,1.2
2020–21,In Australia - secondary applicant by gender | Female,15249.0,1.2
2021–22,In Australia - secondary applicant by gender | Female,14102.0,1.2
2022–23,In Australia - secondary applicant by gender | Female,19947.0,1.2
2023–24,In Australia - secondary applicant by gender | Female,17382.0,1.2
2024–25,In Australia - secondary applicant by gender | Female,19826.0,1.2
2015–16,In Australia - secondary applicant by gender | % Female,57.56245178899899,1.2
2016–17,In Australia - secondary applicant by gender | % Female,59.008362456315524,1.2
2017–18,In Australia - secondary applicant by gender | % Female,60.42376237623762,1.2
2018–19,In Australia - secondary applicant by gender | % Female,58.71071428571428,1.2
2019–20,In Australia - secondary applicant by gender | % Female,57.02864115078346,1.2
2020–21,In Australia - secondary applicant by gender | % Female,58.29128440366973,1.2
2021–22,In Australia - secondary applicant by gender | % Female,54.53420472562745,1.2
2022–23,In Australia - secondary applicant by gender | % Female,51.872366983928856,1.2
2023–24,In Australia - secondary applicant by gender | % Female,51.62459162459162,1.2
2024–25,In Australia - secondary applicant by gender | % Female,56.663522821458166,1.2
2015–16,In Australia - secondary applicant by gender | Male,14304.0,1.2
2016–17,In Australia - secondary applicant by gender | Male,13137.0,1.2
2017–18,In Australia - secondary applicant by gender | Male,9993.0,1.2
2018–19,In Australia - secondary applicant by gender | Male,11561.0,1.2
2019–20,In Australia - secondary applicant by gender | Male,13383.0,1.2
2020–21,In Australia - secondary applicant by gender | Male,10911.0,1.2
2021–22,In Australia - secondary applicant by gender | Male,11757.0,1.2
2022–23,In Australia - secondary applicant by gender | Male,18507.0,1.2
2023–24,In Australia - secondary applicant by gender | Male,16288.0,1.2
2024–25,In Australia - secondary applicant by gender | Male,15163.0,1.2
2015–16,In Australia - secondary applicant by gender | % Male,42.43754821100101,1.2
2016–17,In Australia - secondary applicant by gender | % Male,40.991637543684476,1.2
2017–18,In Australia - secondary applicant by gender | % Male,39.57623762376238,1.2
2018–19,In Australia - secondary applicant by gender | % Male,41.28928571428571,1.2
2019–20,In Australia - secondary applicant by gender | % Male,42.97135884921654,1.2
2020–21,In Australia - secondary applicant by gender | % Male,41.70871559633028,1.2
2021–22,In Australia - secondary applicant by gender | % Male,45.46579527437256,1.2
2022–23,In Australia - secondary applicant by gender | % Male,48.127633016071144,1.2
2023–24,In Australia - secondary applicant by gender | % Male,48.37540837540838,1.2
2024–25,In Australia - secondary applicant by gender | % Male,43.33647717854183,1.2
2015–16,In Australia - secondary applicant by gender | Total1,33719.0,1.2
2016–17,In Australia - secondary applicant by gender | Total1,32056.0,1.2
2017–18,In Australia - secondary applicant by gender | Total1,25254.0,1.2
2018–19,In Australia - secondary applicant by gender | Total1,28008.0,1.2
2019–20,In Australia - secondary applicant by gender | Total1,31148.0,1.2
2020–21,In Australia - secondary applicant by gender | Total1,26162.0,1.2
2021–22,In Australia - secondary applicant by gender | Total1,25867.0,1.2
2022–23,In Australia - secondary applicant by gender | Total1,38466.0,1.2
2023–24,In Australia - secondary applicant by gender | Total1,33677.0,1.2
2024–25,In Australia - secondary applicant by gender | Total1,34995.0,1.2
2015–16,Outside Australia by gender - total | Female,26656.0,1.2
2016–17,Outside Australia by gender - total | Female,26895.0,1.2
2017–18,Outside Australia by gender - total | Female,26952.0,1.2
2018–19,Outside Australia by gender - total | Female,23348.0,1.2
2019–20,Outside Australia by gender - total | Female,14946.0,1.2
2020–21,Outside Australia by gender - total | Female,11653.0,1.2
2021–22,Outside Australia by gender - total | Female,15013.0,1.2
2022–23,Outside Australia by gender - total | Female,25150.0,1.2
2023–24,Outside Australia by gender - total | Female,27340.0,1.2
2024–25,Outside Australia by gender - total | Female,26727.0,1.2
2015–16,Outside Australia by gender - total | % Female,48.99549673743222,1.2
2016–17,Outside Australia by gender - total | % Female,49.18707364801843,1.2
2017–18,Outside Australia by gender - total | % Female,48.79249791809986,1.2
2018–19,Outside Australia by gender - total | % Female,49.32398174750718,1.2
2019–20,Outside Australia by gender - total | % Female,50.31476182460865,1.2
2020–21,Outside Australia by gender - total | % Female,50.81767040251188,1.2
2021–22,Outside Australia by gender - total | % Female,50.536910492476515,1.2
2022–23,Outside Australia by gender - total | % Female,50.66784858069585,1.2
2023–24,Outside Australia by gender - total | % Female,51.1774175433342,1.2
2024–25,Outside Australia by gender - total | % Female,51.35659659505784,1.2
2015–16,Outside Australia by gender - total | Male,27749.0,1.2
2016–17,Outside Australia by gender - total | Male,27784.0,1.2
2017–18,Outside Australia by gender - total | Male,28286.0,1.2
2018–19,Outside Australia by gender - total | Male,23988.0,1.2
2019–20,Outside Australia by gender - total | Male,14759.0,1.2
2020–21,Outside Australia by gender - total | Male,11278.0,1.2
2021–22,Outside Australia by gender - total | Male,14694.0,1.2
2022–23,Outside Australia by gender - total | Male,24487.0,1.2
2023–24,Outside Australia by gender - total | Male,26082.0,1.2
2024–25,Outside Australia by gender - total | Male,25315.0,1.2
2015–16,Outside Australia by gender - total | % Male,51.00450326256778,1.2
2016–17,Outside Australia by gender - total | % Male,50.81292635198157,1.2
2017–18,Outside Australia by gender - total | % Male,51.20750208190014,1.2
2018–19,Outside Australia by gender - total | % Male,50.67601825249282,1.2
2019–20,Outside Australia by gender - total | % Male,49.68523817539135,1.2
2020–21,Outside Australia by gender - total | % Male,49.18232959748812,1.2
2021–22,Outside Australia by gender - total | % Male,49.46308950752348,1.2
2022–23,Outside Australia by gender - total | % Male,49.33215141930415,1.2
2023–24,Outside Australia by gender - total | % Male,48.82258245666579,1.2
2024–25,Outside Australia by gender - total | % Male,48.64340340494216,1.2
2015–16,Outside Australia by gender - total | Total1,54424.0,1.2
2016–17,Outside Australia by gender - total | Total1,54698.0,1.2
2017–18,Outside Australia by gender - total | Total1,55246.0,1.2
2018–19,Outside Australia by gender - total | Total1,47347.0,1.2
2019–20,Outside Australia by gender - total | Total1,29710.0,1.2
2020–21,Outside Australia by gender - total | Total1,22933.0,1.2
2021–22,Outside Australia by gender - total | Total1,29708.0,1.2
2022–23,Outside Australia by gender - total | Total1,49650.0,1.2
2023–24,Outside Australia by gender - total | Total1,53437.0,1.2
2024–25,Outside Australia by gender - total | Total1,52053.0,1.2
2015–16,In Australia by gender - total | Female,34391.0,1.2
2016–17,In Australia by gender - total | Female,32133.0,1.2
2017–18,In Australia by gender - total | Female,26746.0,1.2
2018–19,In Australia by gender - total | Female,29755.0,1.2
2019–20,In Australia by gender - total | Female,31687.0,1.2
2020–21,In Australia by gender - total | Female,26747.0,1.2
2021–22,In Australia by gender - total | Female,28057.0,1.2
2022–23,In Australia by gender - total | Female,45180.0,1.2
2023–24,In Australia by gender - total | Female,39193.0,1.2
2024–25,In Australia by gender - total | Female,37507.0,1.2
2015–16,In Australia by gender - total | % Female,46.41285864665713,1.2
